"timeSeriesId","t","N","Z_mean","temp_mean_summer","temp_mean_winter"
"A",1,136,242.088235294118,17.8089430894309,5.25038759689923
"A",2,106,130.735849056604,17.5804878048781,6.575
"A",3,80,263.7125,17.3447154471545,5.62894736842105
"A",4,206,163.718446601942,19.1723577235772,7.64132231404959
"A",5,228,211.361233480176,18.1837398373984,5.17183098591549
"A",6,275,172.338181818182,19.1162601626016,5.63157894736842
"A",7,270,155.562962962963,NA,NA
"B",1,132,397.742424242424,17.8089430894309,5.25038759689923
"B",2,137,494.92700729927,17.5804878048781,6.575
"B",3,189,395.587301587302,17.3447154471545,5.62894736842105
"B",4,364,287.458791208791,19.1723577235772,7.64132231404959
"B",5,300,363.73,18.1837398373984,5.17183098591549
"B",6,362,247.828254847645,19.1162601626016,5.63157894736842
"B",7,554,130.599277978339,NA,NA
"C",1,104,523.173076923077,17.8089430894309,5.25038759689923
"C",2,172,378.901162790698,17.5804878048781,6.575
"C",3,163,353.552147239264,17.3447154471545,5.62894736842105
"C",4,254,238.232283464567,19.1723577235772,7.64132231404959
"C",5,235,437.225531914894,18.1837398373984,5.17183098591549
"C",6,464,227.338362068966,19.1162601626016,5.63157894736842
"C",7,562,240.467971530249,NA,NA
"D",1,80,475.9625,17.8089430894309,5.25038759689923
"D",2,140,132.235714285714,17.5804878048781,6.575
"D",3,66,271.787878787879,17.3447154471545,5.62894736842105
"D",4,252,162.761904761905,19.1723577235772,7.64132231404959
"D",5,75,306.666666666667,18.1837398373984,5.17183098591549
"D",6,312,173.375,19.1162601626016,5.63157894736842
"D",7,220,242.522727272727,NA,NA
"E",1,116,423.224137931034,17.8089430894309,5.25038759689923
"E",2,250,312.452,17.5804878048781,6.575
"E",3,196,314.826530612245,17.3447154471545,5.62894736842105
"E",4,248,318.20564516129,19.1723577235772,7.64132231404959
"E",5,285,426.715789473684,18.1837398373984,5.17183098591549
"E",6,315,247.748407643312,19.1162601626016,5.63157894736842
"E",7,560,175.305357142857,NA,NA
"F",1,120,318.15,17.8089430894309,5.25038759689923
"F",2,71,204.042253521127,17.5804878048781,6.575
"F",3,275,258.101818181818,17.3447154471545,5.62894736842105
"F",4,249,222.763052208835,19.1723577235772,7.64132231404959
"F",5,273,170.641025641026,18.1837398373984,5.17183098591549
"F",6,289,130.242214532872,19.1162601626016,5.63157894736842
"F",7,241,211.43153526971,NA,NA
"G",1,172,216.360465116279,17.8089430894309,5.25038759689923
"G",2,54,240.796296296296,17.5804878048781,6.575
"G",3,79,336.430379746835,17.3447154471545,5.62894736842105
"G",4,143,168.454545454545,19.1723577235772,7.64132231404959
"G",5,182,184.461538461538,18.1837398373984,5.17183098591549
"G",6,257,171.147859922179,19.1162601626016,5.63157894736842
"G",7,226,246.004424778761,NA,NA
"H",1,86,472.56976744186,17.8089430894309,5.25038759689923
"H",2,95,290.473684210526,17.5804878048781,6.575
"H",3,86,360.790697674419,17.3447154471545,5.62894736842105
"H",4,257,200.735408560311,19.1723577235772,7.64132231404959
"H",5,254,324.311023622047,18.1837398373984,5.17183098591549
"H",6,275,312.570909090909,19.1162601626016,5.63157894736842
"H",7,659,198.113808801214,NA,NA
"I",1,90,433.629213483146,17.8089430894309,5.25038759689923
"I",2,222,163.342342342342,17.5804878048781,6.575
"I",3,187,309.818181818182,17.3447154471545,5.62894736842105
"I",4,213,206.070422535211,19.1723577235772,7.64132231404959
"I",5,311,244.88424437299,18.1837398373984,5.17183098591549
"I",6,466,164.972103004292,19.1162601626016,5.63157894736842
"I",7,452,198.161504424779,NA,NA
"J",1,111,209.279279279279,17.8089430894309,5.25038759689923
"J",2,74,175.702702702703,17.5804878048781,6.575
"J",3,145,199.241379310345,17.3447154471545,5.62894736842105
"J",4,201,204.029850746269,19.1723577235772,7.64132231404959
"J",5,45,398.444444444444,18.1837398373984,5.17183098591549
"J",6,318,216.547169811321,19.1162601626016,5.63157894736842
"J",7,200,207.135,NA,NA
"K",1,217,198.552995391705,17.8089430894309,5.25038759689923
"K",2,120,298.091666666667,17.5804878048781,6.575
"K",3,97,302.319587628866,17.3447154471545,5.62894736842105
"K",4,128,274.3046875,19.1723577235772,7.64132231404959
"K",5,21,421.333333333333,18.1837398373984,5.17183098591549
"K",6,195,151.282051282051,19.1162601626016,5.63157894736842
"K",7,221,191.570135746606,NA,NA
"L",1,98,444.010204081633,17.8089430894309,5.25038759689923
"L",2,107,352.439252336449,17.5804878048781,6.575
"L",3,81,417.135802469136,17.3447154471545,5.62894736842105
"L",4,160,253.6125,19.1723577235772,7.64132231404959
"L",5,150,473.733333333333,18.1837398373984,5.17183098591549
"L",6,265,214.124528301887,19.1162601626016,5.63157894736842
"L",7,479,163.027139874739,NA,NA
